2min 191ms netplan-wait-online.service                                                              
 2min 74ms systemd-networkd-wait-online.service                                                     
   20.044s ntpdate.service                                                                          
   15.155s exim4-base.service                                                                       
   15.142s exim4.service                                                                            
    5.965s netplan-apply.service                                                                    
    1.866s systemd-journal-flush.service                                                            
    1.514s creoled.service                                                                          
    1.047s eoleflask.service                                                                        
     802ms fstrim.service                                                                           
     778ms systemd-udev-settle.service                                                              
     673ms man-db.service                                                                           
     508ms dev-mapper-vghapy\x2d\x2dnode\x2droot.device                                             
     504ms networkd-dispatcher.service                                                              
     457ms accounts-daemon.service                                                                  
     429ms ovs-vswitchd.service                                                                     
     428ms EoleCiTestsContext.service                                                               
     415ms nginx.service                                                                            
     372ms apparmor.service                                                                         
     278ms gpm.service                                                                              
     267ms ovsdb-server.service                                                                     
     261ms ssh.service                                                                              
     242ms systemd-logind.service                                                                   
     236ms systemd-machined.service                                                                 
     236ms systemd-random-seed.service                                                              
     231ms qemu-kvm.service                                                                         
     207ms console-setup.service                                                                    
     170ms logrotate.service                                                                        
     161ms grub-initrd-fallback.service                                                             
     151ms libvirtd.service                                                                         
     141ms netplan-ovs-cleanup.service                                                              
     135ms systemd-resolved.service                                                                 
     132ms dnsmasq.service                                                                          
     101ms keyboard-setup.service                                                                   
     100ms grub-common.service                                                                      
      98ms rsyslog.service                                                                          
      95ms networking.service                                                                       
      91ms EoleCiTestsDaemon.service                                                                
      89ms atd.service                                                                              
      82ms systemd-networkd.service                                                                 
      80ms sys-kernel-debug.mount                                                                   
      79ms sys-kernel-tracing.mount                                                                 
      78ms systemd-udev-trigger.service                                                             
      77ms dev-hugepages.mount                                                                      
      76ms dev-mqueue.mount                                                                         
      74ms blk-availability.service                                                                 
      73ms lvm2-monitor.service                                                                     
      71ms systemd-journald.service                                                                 
      70ms kmod-static-nodes.service                                                                
      67ms e2scrub_reap.service                                                                     
      65ms modprobe@chromeos_pstore.service                                                         
      62ms systemd-hostnamed.service                                                                
      61ms systemd-fsck@dev-mapper-vghapy\x2d\x2dnode\x2dvar\x2blib\x2bone.service                  
      61ms modprobe@drm.service                                                                     
      59ms modprobe@efi_pstore.service                                                              
      58ms lvm2-pvscan@8:2.service                                                                  
      55ms modprobe@ramoops.service                                                                 
      53ms ntp.service                                                                              
      47ms systemd-fsck@dev-mapper-vghapy\x2d\x2dnode\x2dtmp.service                                
      45ms systemd-udevd.service                                                                    
      44ms systemd-fsck@dev-mapper-vghapy\x2d\x2dnode\x2dvar.service                                
      42ms ovs-record-hostname.service                                                              
      40ms systemd-modules-load.service                                                             
      40ms systemd-fsck@dev-disk-by\x2duuid-d539e8bc\x2d5feb\x2d4310\x2dab62\x2dc3462944f164.service
      39ms systemd-sysctl.service                                                                   
      38ms systemd-remount-fs.service                                                               
      38ms dev-mapper-vghapy\x2d\x2dnode\x2dswap_1.swap                                             
      32ms boot.mount                                                                               
      31ms nut-driver.service                                                                       
      29ms tmp.mount                                                                                
      27ms systemd-sysusers.service                                                                 
      25ms libvirt-guests.service                                                                   
      24ms systemd-tmpfiles-setup.service                                                           
      24ms systemd-tmpfiles-setup-dev.service                                                       
      23ms systemd-user-sessions.service                                                            
      20ms nut-monitor.service                                                                      
      18ms rc-local.service                                                                         
      17ms inetd.service                                                                            
      15ms plymouth-quit.service                                                                    
      14ms var.mount                                                                                
      14ms ifupdown-pre.service                                                                     
      14ms polkit.service                                                                           
      13ms systemd-update-utmp.service                                                              
      12ms plymouth-read-write.service                                                              
      12ms modprobe@pstore_zone.service                                                             
      11ms modprobe@pstore_blk.service                                                              
      11ms nut-server.service                                                                       
      11ms systemd-update-utmp-runlevel.service                                                     
       9ms var-lib-one.mount                                                                        
       8ms sys-fs-fuse-connections.mount                                                            
       7ms sys-kernel-config.mount                                                                  
       7ms plymouth-quit-wait.service                                                               
       4ms openvswitch-switch.service                                                               
       3ms setvtrgb.service                                                                         
       2ms libvirtd.socket                                                                          
