17.868s docker.service
 9.125s EoleCiTestsContext.service
 8.304s motd-news.service
  822ms dev-sda2.device
  400ms networkd-dispatcher.service
  399ms systemd-journal-flush.service
  387ms multipathd.service
  363ms fstrim.service
  340ms fwupd-refresh.service
  336ms containerd.service
  290ms apport.service
  256ms systemd-tmpfiles-setup-dev-early.service
  244ms systemd-sysctl.service
  244ms systemd-random-seed.service
  239ms udisks2.service
  230ms rsyslog.service
  208ms man-db.service
  173ms exim4.service
  169ms polkit.service
  169ms systemd-udev-trigger.service
  139ms ModemManager.service
  118ms systemd-binfmt.service
  115ms sysstat-summary.service
  112ms systemd-udevd.service
  107ms update-notifier-download.service
  107ms systemd-journald.service
  105ms keyboard-setup.service
   97ms grub-common.service
   92ms dbus.service
   92ms dev-hugepages.mount
   91ms dev-mqueue.mount
   89ms sys-kernel-debug.mount
   88ms proc-sys-fs-binfmt_misc.mount
   87ms lvm2-monitor.service
   87ms sys-kernel-tracing.mount
   86ms grub-initrd-fallback.service
   80ms kmod-static-nodes.service
   77ms EoleCiTestsDaemon.service
   75ms modprobe@configfs.service
   75ms nginx.service
   73ms modprobe@dm_mod.service
   73ms modprobe@fuse.service
   72ms modprobe@drm.service
   71ms modprobe@loop.service
   70ms modprobe@efi_pstore.service
   69ms systemd-logind.service
   63ms apparmor.service
   62ms logrotate.service
   54ms exim4-base.service
   53ms upower.service
   52ms systemd-modules-load.service
   50ms systemd-hostnamed.service
   50ms dnsmasq.service
   49ms systemd-remount-fs.service
   47ms systemd-tmpfiles-setup.service
   45ms systemd-fsck@dev-disk-by\x2duuid-D5F8\x2d1344.service
   43ms e2scrub_reap.service
   37ms chrony.service
   36ms sys-fs-fuse-connections.mount
   35ms swap.img.swap
   33ms sys-kernel-config.mount
   33ms systemd-networkd.service
   33ms boot-efi.mount
   31ms plymouth-read-write.service
   30ms ssh.service
   27ms systemd-networkd-wait-online.service
   23ms plymouth-quit.service
   21ms console-setup.service
   21ms systemd-user-sessions.service
   19ms finalrd.service
   18ms systemd-tmpfiles-clean.service
   17ms systemd-update-utmp.service
   16ms dpkg-db-backup.service
   16ms sysstat.service
   15ms fetchmail.service
   14ms docker.socket
   13ms setvtrgb.service
   11ms systemd-update-utmp-runlevel.service
    9ms systemd-tmpfiles-setup-dev.service
    7ms plymouth-quit-wait.service
    5ms lxd-installer.socket
    5ms sysstat-collect.service
    3ms e2scrub_all.service
   75us blk-availability.service
