18.112s docker.service
17.956s motd-news.service
 9.408s EoleCiTestsContext.service
 1.310s dev-sda2.device
  741ms systemd-journal-flush.service
  586ms multipathd.service
  535ms systemd-tmpfiles-setup-dev-early.service
  504ms fstrim.service
  471ms containerd.service
  437ms networkd-dispatcher.service
  396ms systemd-sysctl.service
  382ms systemd-random-seed.service
  374ms man-db.service
  364ms apport.service
  341ms fwupd-refresh.service
  246ms udisks2.service
  211ms rsyslog.service
  205ms systemd-udev-trigger.service
  200ms systemd-udevd.service
  176ms exim4.service
  176ms update-notifier-download.service
  157ms polkit.service
  156ms ModemManager.service
  149ms keyboard-setup.service
  144ms dpkg-db-backup.service
  143ms lvm2-monitor.service
  140ms grub-common.service
  102ms systemd-journald.service
   91ms logrotate.service
   90ms upower.service
   86ms EoleCiTestsDaemon.service
   81ms dev-hugepages.mount
   80ms dev-mqueue.mount
   79ms sys-kernel-debug.mount
   78ms sys-kernel-tracing.mount
   76ms apparmor.service
   71ms e2scrub_reap.service
   69ms dbus.service
   66ms kmod-static-nodes.service
   65ms nginx.service
   59ms modprobe@configfs.service
   58ms modprobe@drm.service
   57ms modprobe@dm_mod.service
   57ms modprobe@efi_pstore.service
   57ms systemd-tmpfiles-setup.service
   56ms systemd-logind.service
   56ms modprobe@fuse.service
   55ms modprobe@loop.service
   50ms dnsmasq.service
   50ms systemd-fsck@dev-disk-by\x2duuid-D5F8\x2d1344.service
   49ms systemd-remount-fs.service
   49ms systemd-modules-load.service
   49ms exim4-base.service
   48ms systemd-hostnamed.service
   43ms sysstat.service
   38ms grub-initrd-fallback.service
   36ms sysstat-summary.service
   35ms systemd-networkd.service
   35ms chrony.service
   35ms ssh.service
   31ms sys-fs-fuse-connections.mount
   31ms systemd-binfmt.service
   30ms plymouth-quit.service
   30ms sys-kernel-config.mount
   29ms swap.img.swap
   26ms systemd-networkd-wait-online.service
   25ms fetchmail.service
   24ms plymouth-read-write.service
   22ms console-setup.service
   20ms systemd-tmpfiles-clean.service
   17ms finalrd.service
   17ms setvtrgb.service
   17ms systemd-user-sessions.service
   17ms systemd-update-utmp.service
   15ms docker.socket
   14ms proc-sys-fs-binfmt_misc.mount
   13ms systemd-update-utmp-runlevel.service
   13ms systemd-tmpfiles-setup-dev.service
   11ms boot-efi.mount
    8ms lxd-installer.socket
    6ms sysstat-collect.service
    3ms e2scrub_all.service
    3ms plymouth-quit-wait.service
   78us blk-availability.service
