18.640s docker.service
11.026s motd-news.service
 9.355s EoleCiTestsContext.service
 1.545s dev-sda2.device
 1.061s systemd-journal-flush.service
  516ms fstrim.service
  512ms containerd.service
  492ms networkd-dispatcher.service
  486ms multipathd.service
  360ms systemd-tmpfiles-setup-dev-early.service
  359ms apport.service
  340ms systemd-sysctl.service
  329ms systemd-random-seed.service
  314ms fwupd-refresh.service
  303ms systemd-udevd.service
  294ms udisks2.service
  255ms dpkg-db-backup.service
  203ms exim4.service
  191ms rsyslog.service
  190ms systemd-udev-trigger.service
  162ms polkit.service
  161ms ModemManager.service
  158ms dbus.service
  157ms systemd-journald.service
  153ms keyboard-setup.service
  145ms lvm2-monitor.service
  133ms update-notifier-download.service
  128ms grub-common.service
  111ms exim4-base.service
   93ms dev-hugepages.mount
   90ms dev-mqueue.mount
   89ms sys-kernel-debug.mount
   86ms sys-kernel-tracing.mount
   86ms EoleCiTestsDaemon.service
   83ms logrotate.service
   80ms apparmor.service
   75ms nginx.service
   74ms kmod-static-nodes.service
   68ms modprobe@drm.service
   67ms systemd-logind.service
   67ms modprobe@configfs.service
   67ms modprobe@dm_mod.service
   66ms modprobe@efi_pstore.service
   64ms modprobe@fuse.service
   61ms upower.service
   59ms modprobe@loop.service
   55ms grub-initrd-fallback.service
   53ms e2scrub_reap.service
   52ms dnsmasq.service
   51ms systemd-modules-load.service
   51ms systemd-tmpfiles-setup.service
   48ms systemd-remount-fs.service
   44ms systemd-hostnamed.service
   44ms systemd-fsck@dev-disk-by\x2duuid-D5F8\x2d1344.service
   37ms systemd-networkd.service
   36ms ssh.service
   35ms plymouth-quit.service
   35ms chrony.service
   34ms systemd-binfmt.service
   34ms sys-fs-fuse-connections.mount
   32ms systemd-networkd-wait-online.service
   31ms systemd-tmpfiles-clean.service
   30ms sys-kernel-config.mount
   30ms swap.img.swap
   30ms sysstat.service
   29ms plymouth-read-write.service
   27ms fetchmail.service
   21ms systemd-update-utmp.service
   20ms boot-efi.mount
   20ms setvtrgb.service
   18ms systemd-user-sessions.service
   18ms finalrd.service
   17ms console-setup.service
   15ms proc-sys-fs-binfmt_misc.mount
   12ms systemd-update-utmp-runlevel.service
   11ms systemd-tmpfiles-setup-dev.service
   10ms docker.socket
    5ms lxd-installer.socket
    5ms sysstat-collect.service
    3ms e2scrub_all.service
    2ms plymouth-quit-wait.service
   77us blk-availability.service
