18.393s docker.service
 9.325s EoleCiTestsContext.service
 2.594s motd-news.service
 1.281s dev-sda2.device
  788ms systemd-journal-flush.service
  552ms multipathd.service
  508ms fstrim.service
  469ms fwupd-refresh.service
  467ms containerd.service
  418ms networkd-dispatcher.service
  362ms systemd-udevd.service
  353ms apport.service
  320ms systemd-tmpfiles-setup-dev-early.service
  306ms systemd-sysctl.service
  291ms systemd-random-seed.service
  251ms udisks2.service
  225ms rsyslog.service
  218ms man-db.service
  178ms systemd-udev-trigger.service
  170ms exim4.service
  164ms polkit.service
  157ms systemd-journald.service
  152ms lvm2-monitor.service
  137ms grub-common.service
  130ms update-notifier-download.service
  130ms ModemManager.service
  108ms sysstat-summary.service
  101ms keyboard-setup.service
   91ms systemd-logind.service
   88ms dev-hugepages.mount
   88ms dev-mqueue.mount
   88ms sys-kernel-debug.mount
   86ms sys-kernel-tracing.mount
   80ms EoleCiTestsDaemon.service
   77ms apparmor.service
   74ms kmod-static-nodes.service
   72ms dbus.service
   69ms modprobe@configfs.service
   69ms modprobe@efi_pstore.service
   69ms modprobe@dm_mod.service
   68ms modprobe@drm.service
   67ms modprobe@loop.service
   65ms modprobe@fuse.service
   62ms systemd-modules-load.service
   61ms upower.service
   56ms nginx.service
   55ms systemd-remount-fs.service
   51ms systemd-tmpfiles-setup.service
   48ms dnsmasq.service
   47ms systemd-hostnamed.service
   41ms ssh.service
   41ms sys-fs-fuse-connections.mount
   40ms sys-kernel-config.mount
   39ms systemd-fsck@dev-disk-by\x2duuid-D5F8\x2d1344.service
   39ms systemd-binfmt.service
   38ms logrotate.service
   36ms chrony.service
   36ms e2scrub_reap.service
   36ms systemd-networkd.service
   35ms sysstat.service
   34ms exim4-base.service
   33ms fetchmail.service
   32ms swap.img.swap
   32ms systemd-networkd-wait-online.service
   31ms grub-initrd-fallback.service
   22ms console-setup.service
   22ms plymouth-quit.service
   21ms systemd-user-sessions.service
   21ms finalrd.service
   19ms plymouth-read-write.service
   18ms systemd-update-utmp.service
   17ms systemd-tmpfiles-clean.service
   17ms setvtrgb.service
   17ms docker.socket
   11ms systemd-update-utmp-runlevel.service
   11ms update-notifier-motd.service
   10ms dpkg-db-backup.service
    9ms systemd-tmpfiles-setup-dev.service
    9ms proc-sys-fs-binfmt_misc.mount
    9ms boot-efi.mount
    7ms lxd-installer.socket
    5ms sysstat-collect.service
    3ms e2scrub_all.service
    3ms plymouth-quit-wait.service
   77us blk-availability.service
