19.499s docker.service
 9.965s EoleCiTestsContext.service
 1.438s dev-sda2.device
  965ms fwupd.service
  926ms fstrim.service
  865ms systemd-journal-flush.service
  714ms apport.service
  519ms networkd-dispatcher.service
  475ms systemd-udevd.service
  417ms multipathd.service
  367ms systemd-tmpfiles-setup-dev-early.service
  347ms systemd-sysctl.service
  330ms motd-news.service
  326ms fetchmail.service
  324ms systemd-random-seed.service
  293ms udisks2.service
  277ms man-db.service
  253ms systemd-udev-trigger.service
  238ms rsyslog.service
  222ms exim4.service
  181ms ModemManager.service
  163ms polkit.service
  153ms lvm2-monitor.service
  137ms update-notifier-download.service
  128ms grub-common.service
  118ms keyboard-setup.service
  116ms EoleCiTestsDaemon.service
  114ms systemd-journald.service
  112ms sysstat-summary.service
  111ms dbus.service
   90ms dev-hugepages.mount
   88ms dev-mqueue.mount
   88ms sys-kernel-debug.mount
   88ms containerd.service
   88ms sys-kernel-tracing.mount
   79ms nginx.service
   78ms apparmor.service
   78ms upower.service
   71ms kmod-static-nodes.service
   69ms modprobe@efi_pstore.service
   68ms modprobe@drm.service
   68ms modprobe@dm_mod.service
   68ms modprobe@configfs.service
   67ms systemd-logind.service
   67ms systemd-modules-load.service
   66ms modprobe@fuse.service
   65ms modprobe@loop.service
   58ms systemd-tmpfiles-setup.service
   57ms dnsmasq.service
   57ms systemd-fsck@dev-disk-by\x2duuid-D5F8\x2d1344.service
   54ms e2scrub_reap.service
   53ms systemd-hostnamed.service
   52ms systemd-remount-fs.service
   49ms logrotate.service
   49ms sysstat.service
   46ms grub-initrd-fallback.service
   44ms systemd-networkd-wait-online.service
   43ms fwupd-refresh.service
   43ms ssh.service
   42ms chrony.service
   41ms exim4-base.service
   39ms systemd-networkd.service
   39ms systemd-binfmt.service
   34ms boot-efi.mount
   33ms sys-fs-fuse-connections.mount
   33ms plymouth-read-write.service
   31ms sys-kernel-config.mount
   31ms swap.img.swap
   22ms console-setup.service
   22ms systemd-tmpfiles-clean.service
   21ms systemd-update-utmp.service
   21ms proc-sys-fs-binfmt_misc.mount
   20ms finalrd.service
   19ms plymouth-quit.service
   19ms systemd-user-sessions.service
   15ms systemd-update-utmp-runlevel.service
   15ms docker.socket
   14ms dpkg-db-backup.service
   13ms setvtrgb.service
   11ms systemd-tmpfiles-setup-dev.service
    9ms lxd-installer.socket
    6ms sysstat-collect.service
    4ms e2scrub_all.service
    2ms plymouth-quit-wait.service
   76us blk-availability.service
