18.888s docker.service
 9.577s EoleCiTestsContext.service
 1.725s dev-sda2.device
 1.553s motd-news.service
 1.219s systemd-journal-flush.service
 1.095s multipathd.service
  867ms containerd.service
  780ms systemd-tmpfiles-setup-dev-early.service
  765ms systemd-sysctl.service
  731ms systemd-random-seed.service
  578ms fstrim.service
  481ms networkd-dispatcher.service
  448ms apport.service
  443ms systemd-udevd.service
  348ms lvm2-monitor.service
  323ms systemd-udev-trigger.service
  318ms fwupd-refresh.service
  307ms udisks2.service
  244ms man-db.service
  210ms rsyslog.service
  197ms polkit.service
  189ms exim4.service
  170ms dbus.service
  164ms systemd-journald.service
  160ms keyboard-setup.service
  156ms ModemManager.service
  142ms grub-common.service
  112ms update-notifier-download.service
  107ms sysstat-summary.service
  100ms systemd-binfmt.service
   95ms systemd-logind.service
   81ms EoleCiTestsDaemon.service
   78ms apparmor.service
   75ms dev-hugepages.mount
   73ms dev-mqueue.mount
   71ms sys-kernel-debug.mount
   71ms sys-kernel-tracing.mount
   67ms nginx.service
   66ms proc-sys-fs-binfmt_misc.mount
   61ms fetchmail.service
   61ms sys-fs-fuse-connections.mount
   60ms systemd-tmpfiles-setup.service
   58ms modprobe@loop.service
   57ms upower.service
   57ms kmod-static-nodes.service
   57ms modprobe@fuse.service
   56ms swap.img.swap
   56ms grub-initrd-fallback.service
   56ms modprobe@efi_pstore.service
   54ms modprobe@drm.service
   52ms modprobe@dm_mod.service
   52ms modprobe@configfs.service
   51ms systemd-fsck@dev-disk-by\x2duuid-D5F8\x2d1344.service
   51ms systemd-modules-load.service
   50ms sys-kernel-config.mount
   50ms dnsmasq.service
   48ms systemd-hostnamed.service
   45ms systemd-remount-fs.service
   45ms e2scrub_reap.service
   41ms ssh.service
   41ms boot-efi.mount
   40ms sysstat.service
   39ms systemd-networkd.service
   38ms logrotate.service
   36ms chrony.service
   35ms exim4-base.service
   32ms systemd-networkd-wait-online.service
   27ms console-setup.service
   25ms systemd-update-utmp.service
   23ms plymouth-read-write.service
   23ms finalrd.service
   18ms systemd-tmpfiles-clean.service
   18ms systemd-user-sessions.service
   16ms plymouth-quit.service
   15ms setvtrgb.service
   14ms docker.socket
   11ms systemd-update-utmp-runlevel.service
   11ms update-notifier-motd.service
   11ms dpkg-db-backup.service
   10ms systemd-tmpfiles-setup-dev.service
    9ms lxd-installer.socket
    5ms sysstat-collect.service
    3ms plymouth-quit-wait.service
    3ms e2scrub_all.service
   73us blk-availability.service
